Unique Key,Word/Phrase,Pinyin,Part of Speech,Meaning,Lesson,Shelley's Notes,Level,Characters Learned Before,Type,Book
[1.12] 爱 New Word,爱,ài,v.,"to like, to love",1.12,,,,New Word,1
[1.05] 八 New Word,八,bā,num.,eight,1.05,,,,New Word,1
[1.09] 爸爸 New Word,爸爸,bàba,n.,father,1.09,,,,New Word,1
[1.08] 杯子 New Word,杯子,bēizi,n.,"cup, glass",1.08,,,,New Word,1
[1.10] 本 New Word,本,běn,m.,a measure word for books,1.10,,,,New Word,1
[1.02] 不客气 New Word,不客气,bùkèqi,,"you're welcome, don't mention it",1.02,,,,New Word,1
[1.02] 不 New Word,不,bù,adv.,"nо, not",1.02,,,,New Word,1
[1.06] 菜 New Word,菜,cài,n.,"dish, cuisine",1.06,,,,New Word,1
[1.08] 茶 New Word,茶,chá,n.,tea,1.08,,,,New Word,1
[1.08] 吃 New Word,吃,chī,v.,to eat,1.08,,,,New Word,1
[1.15] 出租车 New Word,出租车,chūzūchē,n.,"taxi, cab",1.15,,,,New Word,1
[1.13] 打电话 New Word,打电话,dǎdiànhuà,,to make a phone call,1.13,,,,New Word,1
[1.05] 大 New Word,大,dà,adj.,(of age) old,1.05,,,,New Word,1
[1.04] 的 New Word,的,de,part.,used after an attribute,1.04,,,,New Word,1
[1.11] 点 New Word,点,diǎn,m.,o'clock,1.11,,,,New Word,1
[1.10] 电脑 New Word,电脑,diànnǎo,n.,computer,1.10,,,,New Word,1
[1.13] 电视 New Word,电视,diànshì,n.,television,1.13,,,,New Word,1
[1.11] 电影 New Word,电影,diànyǐng,n.,"film, movie",1.11,,,,New Word,1
[1.14] 东西 New Word,东西,dōngxi,n.,"thing, stuff",1.14,,,,New Word,1
[1.14] 都 New Word,都,dōu,adv.,"both, all",1.14,,,,New Word,1
[1.06] 读 New Word,读,dú,v.,to read,1.06,,,,New Word,1
[1.01] 对不起 New Word,对不起,duìbuqǐ,v.,to be sorry,1.01,,,,New Word,1
[1.05] 多 New Word,多,duō,adv.,indicating degree or extent,1.05,,,,New Word,1
[1.08] 多少 New Word,多少,duōshǎo,pron.,"how many, how much",1.08,,,,New Word,1
[1.09] 儿子 New Word,儿子,érzi,n.,son,1.09,,,,New Word,1
[1.05] 二 New Word,二,èr,num.,two,1.05,,,,New Word,1
[1.15] 饭店 New Word,饭店,fàndiàn,n.,"hotel, restaurant",1.15,,,,New Word,1
[1.15] 飞机 New Word,飞机,fēijī,n.,airplane,1.15,,,,New Word,1
[1.14] 分钟 New Word,分钟,fēnzhōng,n.,minute,1.14,,,,New Word,1
[1.15] 高兴 New Word,高兴,gāoxìng,adj.,"glad, happy",1.15,,,,New Word,1
[1.08] 个 New Word,个,gè,m.,a general measure word,1.08,,,,New Word,1
[1.09] 工作 New Word,工作,gōngzuò,v./n.,to work; job,1.09,,,,New Word,1
[1.09] 狗 New Word,狗,gǒu,n.,dog,1.09,,,,New Word,1
[1.04] 汉语 New Word,汉语,Hànyǔ,n.,Chinese (language),1.04,,,,New Word,1
[1.01] 好 New Word,好,hǎo,adj.,"good, fine",1.01,,,,New Word,1
[1.07] 号 New Word,号,hào,n.,(for date of month) number,1.07,,,,New Word,1
[1.08] 喝 New Word,喝,hē,v.,to drink,1.08,,,,New Word,1
[1.10] 和 New Word,和,hé,conj.,and,1.10,,,,New Word,1
[1.06] 很 New Word,很,hěn,adv.,"very, quite",1.06,,,,New Word,1
[1.10] 后面 New Word,后面,hòumian,n.,back,1.10,,,,New Word,1
[1.11] 回 New Word,回,huí,v.,"to come/go back, to return",1.11,,,,New Word,1
[1.06] 会 New Word,会,huì,mod.,"can, to be able to",1.06,,,,New Word,1
[1.05] 几 New Word,几,jǐ,pron.,how many,1.05,,,,New Word,1
[1.05] 家 New Word,家,jiā,n.,family,1.05,,,,New Word,1
[1.03] 叫 New Word,叫,jiào,v.,"to call, to be called",1.03,,,,New Word,1
[1.07] 今天 New Word,今天,jīntiān,n.,today,1.07,,,,New Word,1
[1.05] 九 New Word,九,jiǔ,num.,nine,1.05,,,,New Word,1
[1.14] 开 New Word,开,kāi,v.,to drive,1.14,,,,New Word,1
[1.07] 看 New Word,看,kàn,v.,"to look at, to watch, to read",1.07,,,,New Word,1
[1.14] 看见 New Word,看见,kànjiàn,v.,to see,1.14,,,,New Word,1
[1.08] 块 New Word,块,kuài,m.,"a unit of money, same as ""yuan""",1.08,,,,New Word,1
[1.12] 来 New Word,来,lái,v.,to come,1.12,,,,New Word,1
[1.03] 老师 New Word,老师,lǎoshī,n.,teacher,1.03,,,,New Word,1
[1.05] 了 New Word,了,le,part.,used at the end of or in the middle of a sentence to indicate a change or a new circumstance,1.05,,,,New Word,1
[1.12] 冷 New Word,冷,lěng,adj.,cold,1.12,,,,New Word,1
[1.10] 里 New Word,里,lǐ,n.,"inner, inside, interior",1.10,,,,New Word,1
[1.05] 六 New Word,六,liù,num.,six,1.05,,,,New Word,1
[1.06] 妈妈 New Word,妈妈,māma,n.,mother,1.06,,,,New Word,1
[1.03] 吗 New Word,吗,ma,part.,used at the end of a question,1.03,,,,New Word,1
[1.08] 买 New Word,买,mǎi,v.,"to buy, to purchase",1.08,,,,New Word,1
[1.09] 猫 New Word,猫,māo,n.,cat,1.09,,,,New Word,1
[1.01] 没关系 New Word,没关系,méiguānxi,,"that's OK, it doesn't matter",1.01,,,,New Word,1
[1.10] 没有 New Word,没有,méiyǒu,adv.,there is not,1.10,,,,New Word,1
[1.08] 米饭 New Word,米饭,mǐfàn,n.,cooked rice,1.08,,,,New Word,1
[1.03] 名字 New Word,名字,míngzi,n.,name,1.03,,,,New Word,1
[1.07] 明天 New Word,明天,míngtiān,n.,tomorrow,1.07,,,,New Word,1
[1.04] 哪 New Word,哪,nǎ,pron.,which,1.04,,,,New Word,1
[1.09] 哪儿 New Word,哪儿,nǎr,pron.,where,1.09,,,,New Word,1
[1.08] 那 New Word,那,nà,pron.,that,1.08,,,,New Word,1
