Unique Key,Word/Phrase,Pinyin,Part of Speech,Meaning,Lesson,Shelley's Notes,Level,Characters Learned Before,Type,Book
[1.04] 呢 New Word,呢,ne,part.,used at the end of a question,1.04,,,,New Word,1
[1.10] 能 New Word,能,néng,mod.,"can, may",1.10,,,,New Word,1
[1.01] 你 New Word,你,nǐ,pron.,(singular) you,1.01,,,,New Word,1
[1.15] 年 New Word,年,nián,n.,year,1.15,,,,New Word,1
[1.05] 女儿 New Word,女儿,nǚ'ér,n.,daughter,1.05,,,,New Word,1
[1.04] 朋友 New Word,朋友,péngyou,n.,friend,1.04,,,,New Word,1
[1.14] 漂亮 New Word,漂亮,piàoliang,adj.,"beautiful, pretty",1.14,,,,New Word,1
[1.14] 苹果 New Word,苹果,píngguǒ,n.,apple,1.14,,,,New Word,1
[1.05] 七 New Word,七,qī,num.,seven,1.05,,,,New Word,1
[1.10] 前面 New Word,前面,qiánmiàn,n.,front,1.10,,,,New Word,1
[1.08] 钱 New Word,钱,qián,n.,money,1.08,,,,New Word,1
[1.07] 请 New Word,请,qǐng,v.,(polite) please,1.07,,,,New Word,1
[1.07] 去 New Word,去,qù,v.,to go,1.07,,,,New Word,1
[1.12] 热 New Word,热,rè,adj.,hot,1.12,,,,New Word,1
[1.03] 人 New Word,人,rén,n.,"human, person",1.03,,,,New Word,1
[1.15] 认识 New Word,认识,rènshi,v.,"meet, to know",1.15,,,,New Word,1
[1.05] 三 New Word,三,sān,num.,three,1.05,,,,New Word,1
[1.08] 商店 New Word,商店,shāngdiàn,n.,"shop, store",1.08,,,,New Word,1
[1.10] 上 New Word,上,shàng,n.,"up, above",1.10,,,,New Word,1
[1.13] 上午 New Word,上午,shàngwǔ,n.,"morning, before noon",1.13,,,,New Word,1
[1.14] 少 New Word,少,shǎo,adj.,"little, few",1.14,,,,New Word,1
[1.04] 谁 New Word,谁,shuí,pron.,"who, whom",1.04,,,,New Word,1
[1.03] 什么 New Word,什么,shénme,pron.,what,1.03,,,,New Word,1
[1.05] 十 New Word,十,shí,num.,ten,1.05,,,,New Word,1
[1.11] 时候 New Word,时候,shíhou,n.,"time, moment",1.11,,,,New Word,1
[1.03] 是 New Word,是,shì,v.,to be,1.03,,,,New Word,1
[1.07] 书 New Word,书,shū,n.,book,1.07,,,,New Word,1
[1.12] 水 New Word,水,shuǐ,n.,water,1.12,,,,New Word,1
[1.12] 水果 New Word,水果,shuǐguǒ,n.,fruit,1.12,,,,New Word,1
[1.13] 睡觉 New Word,睡觉,shuìjiào,v.,to sleep,1.13,,,,New Word,1
[1.06] 说 New Word,说,shuō,v.,"to speak, to say",1.06,,,,New Word,1
[1.05] 四 New Word,四,sì,num.,four,1.05,,,,New Word,1
[1.05] 岁 New Word,岁,suì,m.,year (of age),1.05,,,,New Word,1
[1.04] 他 New Word,他,tā,pron.,"he, him",1.04,,,,New Word,1
[1.04] 她 New Word,她,tā,pron.,"she, her",1.04,,,,New Word,1
[1.12] 太 New Word,太,tài,adv.,"too, excessively",1.12,,,,New Word,1
[1.12] 天气 New Word,天气,tiānqì,n.,weather,1.12,,,,New Word,1
[1.15] 听 New Word,听,tīng,v.,to listen,1.15,,,,New Word,1
[1.04] 同学 New Word,同学,tóngxué,n.,classmate,1.04,,,,New Word,1
[1.13] 喂 New Word,喂,wèi,int.,"hello, hey",1.13,,,,New Word,1
[1.03] 我 New Word,我,wǒ,pron.,"I, me",1.03,,,,New Word,1
[1.11] 我们 New Word,我们,wǒmen,pron.,"we, us",1.11,,,,New Word,1
[1.05] 五 New Word,五,wǔ,num.,five,1.05,,,,New Word,1
[1.13] 喜欢 New Word,喜欢,xǐhuan,v.,"to like, to be fond of",1.13,,,,New Word,1
[1.09] 下 New Word,下,xià,n.,"under, below",1.09,,,,New Word,1
[1.08] 下午 New Word,下午,xiàwǔ,n.,afternoon,1.08,,,,New Word,1
[1.12] 下雨 New Word,下雨,xiàyǔ,,to rain,1.12,,,,New Word,1
[1.14] 先生 New Word,先生,xiānsheng,n.,"Mr., sir",1.14,,,,New Word,1
[1.11] 现在 New Word,现在,xiànzài,n.,now,1.11,,,,New Word,1
[1.08] 想 New Word,想,xiǎng,mod.,"to want, would like",1.08,,,,New Word,1
[1.09] 小 New Word,小,xiǎo,adj.,"small, little",1.09,,,,New Word,1
[1.12] 小姐 New Word,小姐,xiǎojiě,n.,"miss, young lady",1.12,,,,New Word,1
[1.12] 些 New Word,些,xiē,m.,"some, a few",1.12,,,,New Word,1
[1.06] 写 New Word,写,xiě,v.,to write,1.06,,,,New Word,1
[1.02] 谢谢 New Word,谢谢,xièxie,v.,to thank,1.02,,,,New Word,1
[1.07] 星期 New Word,星期,xīngqī,n.,week,1.07,,,,New Word,1
[1.03] 学生 New Word,学生,xuésheng,n.,student,1.03,,,,New Word,1
[1.13] 学习 New Word,学习,xuéxí,v.,"to study, to learn",1.13,,,,New Word,1
[1.07] 学校 New Word,学校,xuéxiào,n.,school,1.07,,,,New Word,1
[1.05] 一 New Word,一,yī,num.,one,1.05,,,,New Word,1
[1.14] 衣服 New Word,衣服,yīfu,n.,clothes,1.14,,,,New Word,1
[1.09] 医生 New Word,医生,yīshēng,n.,doctor,1.09,,,,New Word,1
[1.09] 医院 New Word,医院,yīyuàn,n.,hospital,1.09,,,,New Word,1
[1.09] 椅子 New Word,椅子,yǐzi,n.,chair,1.09,,,,New Word,1
[1.14] 一点儿 New Word,一点儿,yīdiǎnr,num.-m.,"a few, a little",1.14,,,,New Word,1
[1.05] 有 New Word,有,yǒu,v.,"to have, there be",1.05,,,,New Word,1
[1.07] 月 New Word,月,yuè,n.,month,1.07,,,,New Word,1
[1.02] 再见 New Word,再见,zàijiàn,v.,to see you around,1.02,,,,New Word,1
[1.09] 在 New Word,在,zài,v./prep.,to be in/on/at; in/on/at,1.09,,,,New Word,1
[1.06] 怎么 New Word,怎么,zěnme,pron.,"(indicating nature, condition or manner, etc.) how",1.06,,,,New Word,1
[1.12] 怎么样 New Word,怎么样,zěnmeyàng,pron.,"(indicating nature, condition or manner) how",1.12,,,,New Word,1
[1.08] 这 New Word,这,zhè,pron.,this,1.08,,,,New Word,1
[1.11] 中午 New Word,中午,zhōngwǔ,n.,noon,1.11,,,,New Word,1
[1.11] 住 New Word,住,zhù,v.,"to live, to stay",1.11,,,,New Word,1
[1.10] 桌子 New Word,桌子,zhuōzi,n.,"desk, table",1.10,,,,New Word,1
[1.06] 字 New Word,字,zì,n.,"character, word",1.06,,,,New Word,1
[1.07] 昨天 New Word,昨天,zuótiān,n.,yesterday,1.07,,,,New Word,1
[1.10] 坐 New Word,坐,zuò,v.,"to sit, to be seated",1.10,,,,New Word,1
[1.06] 做 New Word,做,zuò,v.,"to make, to produce",1.06,,,,New Word,1
[1.11] 北京 Proper Noun,北京,Běijīng,,"Beijing, capital of China",1.11,,,,Proper Noun,1
[1.13] 大卫 Proper Noun,大卫,Dàwèi,,David,1.13,,,,Proper Noun,1
[1.03] 李月 Proper Noun,李月,Lǐyuè,,"Li Yue, name of a person",1.03,,,,Proper Noun,1
[1.03] 美国 Proper Noun,美国,Měiguó,,the United States of America,1.03,,,,Proper Noun,1
[1.10] 王方 Proper Noun,王方,Wángfāng,,"Wang Fang, name of a person",1.10,,,,Proper Noun,1
[1.10] 谢朋 Proper Noun,谢朋,Xièpéng,,"Xie Peng, name of a person",1.10,,,,Proper Noun,1
[1.14] 张 Proper Noun,张,Zhāng,,"Zhang, a Chinese family name",1.14,,,,Proper Noun,1
[1.03] 中国 Proper Noun,中国,Zhōngguó,,China,1.03,,,,Proper Noun,1
[1.14] 啊 Words Not Included in the Syllabus,啊,a,part.,a modal particle used at the end of a sentence as a sign of confirmation or defense,1.14,,3,,Words Not Included in the Syllabus,1
[1.13] 吧 Words Not Included in the Syllabus,吧,ba,part.,"a modal particle used at the end of a sentence to indicate consultation, a suggestion, request or command",1.13,,2,,Words Not Included in the Syllabus,1
[1.13] 给 Words Not Included in the Syllabus,给,gěi,prep.,to,1.13,,2,,Words Not Included in the Syllabus,1
[1.06] 好吃 Words Not Included in the Syllabus,好吃,hǎochī,adj.,"delicious, tasty",1.06,,2,,Words Not Included in the Syllabus,1
[1.05] 口 Words Not Included in the Syllabus,口,kǒu,m.,"a measure word for members of a families, etc.",1.05,,3,,Words Not Included in the Syllabus,1
[1.01] 您 Words Not Included in the Syllabus,您,nín,pron.,(polite) you,1.01,,2,,Words Not Included in the Syllabus,1
[1.12] 身体 Words Not Included in the Syllabus,身体,shēntǐ,n.,body,1.12,,2,,Words Not Included in the Syllabus,1
[1.07] 问 Words Not Included in the Syllabus,问,wèn,v.,"to ask, to inquire",1.07,,2,,Words Not Included in the Syllabus,1
[1.13] 也 Words Not Included in the Syllabus,也,yě,adv.,"also, too",1.13,,2,,Words Not Included in the Syllabus,1
[1.15] 一起 Words Not Included in the Syllabus,一起,yīqǐ,adv.,together,1.15,,2,,Words Not Included in the Syllabus,1
[1.14] 不少 New Words Made Up of Characters Learned before,不少,bùshǎo,adj.,"quite a few, many",1.14,,,不、少,New Words Made Up of Characters Learned before,1
[1.14] 车 New Words Made Up of Characters Learned before,车,chē,n.,"car, vehicle",1.14,,,出租车,New Words Made Up of Characters Learned before,1
[1.11] 吃饭 New Words Made Up of Characters Learned before,吃饭,chīfàn,v.,to eat a meal,1.11,,,吃、米饭,New Words Made Up of Characters Learned before,1
[1.15] 大学 New Words Made Up of Characters Learned before,大学,dàxué,n.,"college, university",1.15,,,大、学校,New Words Made Up of Characters Learned before,1
[1.11] 分 New Words Made Up of Characters Learned before,分,fēn,m.,minute,1.11,,,分钟,New Words Made Up of Characters Learned before,1
[1.04] 国 New Words Made Up of Characters Learned before,国,guó,n.,"country, nation",1.04,,,中国,New Words Made Up of Characters Learned before,1
[1.06] 汉字 New Words Made Up of Characters Learned before,汉字,hànzì,n.,Chinese character,1.06,,,汉语、字,New Words Made Up of Characters Learned before,1
[1.14] 后面 New Words Made Up of Characters Learned before,后面,hòumiàn,n.,"after, afterwards, later",1.14,,,后面,New Words Made Up of Characters Learned before,1
[1.14] 回来 New Words Made Up of Characters Learned before,回来,huílai,v.,to come back,1.14,,,回、起来,New Words Made Up of Characters Learned before,1
[1.05] 今年 New Words Made Up of Characters Learned before,今年,jīnnián,n.,this year,1.05,,,今天、年,New Words Made Up of Characters Learned before,1
[1.10] 没 New Words Made Up of Characters Learned before,没,méi,adv.,there is not,1.10,,,没有,New Words Made Up of Characters Learned before,1
[1.09] 那儿 New Words Made Up of Characters Learned before,那儿,nàr,pron.,there,1.09,,,那、哪儿,New Words Made Up of Characters Learned before,1
[1.01] 你们 New Words Made Up of Characters Learned before,你们,nǐmen,pron.,(plural) you,1.01,,,你、我们,New Words Made Up of Characters Learned before,1
[1.11] 前 New Words Made Up of Characters Learned before,前,qián,n.,"before, earlier than",1.11,,,前面,New Words Made Up of Characters Learned before,1
[1.12] 太……了 New Words Made Up of Characters Learned before,太……了,tài   le,,"too, excessively",1.12,,,太、了,New Words Made Up of Characters Learned before,1
[1.12] 下 New Words Made Up of Characters Learned before,下,xià,v.,"(of rain, snow, etc.) to fall",1.12,,,下雨,New Words Made Up of Characters Learned before,1
[1.09] 下面 New Words Made Up of Characters Learned before,下面,xiàmiàn,n.,"under, below",1.09,,,下、前面,New Words Made Up of Characters Learned before,1
[1.13] 学 New Words Made Up of Characters Learned before,学,xué,v.,"to study, to learn",1.13,,,学习,New Words Made Up of Characters Learned before,1
[1.12] 雨 New Words Made Up of Characters Learned before,雨,yǔ,n.,rain,1.12,,,下雨,New Words Made Up of Characters Learned before,1
[1.10] 这儿 New Words Made Up of Characters Learned before,这儿,zhèr,pron.,here,1.10,,,这、哪儿,New Words Made Up of Characters Learned before,1
[1.14] 这些 New Words Made Up of Characters Learned before,这些,zhèxiē,pron.,these,1.14,,,这、些,New Words Made Up of Characters Learned before,1
