Word/Phrase,Pinyin,Part of Speech,Meaning,Lesson,Shelley's Notes,Level,Characters Learned Before,Type,Book
爱惜,àixī,v.,"to cherish, to treasure",34,,,,New Word,5下
爱心,àixīn,n.,"love, compassion",36,,,,New Word,5下
岸,àn,n.,"bank (of a river, lake, etc.), shore, coast",30,,,,New Word,5下
暗,àn,adj.,"dark, dim",23,,,,New Word,5下
把握,bǎwò,n.,"assurance, confidence",27,,,,New Word,5下
办理,bànlǐ,v.,"to handle, to deal with",20,,,,New Word,5下
包含,bāohán,v.,"to contain, to include",21,,,,New Word,5下
薄,báo,adj.,thin,19,,,,New Word,5下
保留,bǎoliú,v.,"to reserve, to save",36,,,,New Word,5下
保险,bǎoxiǎn,n.,insurance,33,,,,New Word,5下
报告,bàogào,n.,report,31,,,,New Word,5下
报社,bàoshè,n.,"newspaper office, headquarters of a newspaper",31,,,,New Word,5下
悲(伤),bēi(shāng),adj.,"sad, sorrowful",36,,,,New Word,5下
本科,běnkē,n.,undergraduate education,28,,,,New Word,5下
本质,běnzhì,n.,"essence, nature, intrinsic quality",30,,,,New Word,5下
比例,bǐlì,n.,"proportion, scale",30,,,,New Word,5下
必然,bìrán,adj.,"inevitable, certain",27,,,,New Word,5下
编辑,biānjí,n.,editor,31,,,,New Word,5下
标志,biāozhì,n.,"sign, mark",31,,,,New Word,5下
冰激凌,bīngjīlíng,n.,ice cream,35,,,,New Word,5下
玻璃,bōli,n.,glass,35,,,,New Word,5下
不断,bùduàn,adv.,"continuously, unceasingly",30,,,,New Word,5下
不见得,bùjiànde,adv.,"not necessarily, may not",29,,,,New Word,5下
补充,bǔchōng,v.,"to supplement, to replenish",35,,,,New Word,5下
不安,bù'ān,adj.,"upset, disturbed",32,,,,New Word,5下
不然,bùrán,conj.,"or else, otherwise",36,,,,New Word,5下
不如,bùrú,v.,"to be not as good as, to be inferior to",29,,,,New Word,5下
步骤,bùzhòu,n.,"step, procedure",26,,,,New Word,5下
部门,bùmén,n.,"department, section",28,,,,New Word,5下
采访,cǎifǎng,v.,to interview,24,,,,New Word,5下
参考,cānkǎo,v.,"to consult, to refer to",28,,,,New Word,5下
操心,cāoxīn,v.,"to worry about, to be concerned about",24,,,,New Word,5下
册,cè,m.,volume,20,,,,New Word,5下
测验,cèyàn,v.,to test,35,,,,New Word,5下
常识,chángshí,n.,common knowledge,35,,,,New Word,5下
朝,cháo,prep.,towards,25,,,,New Word,5下
潮湿,cháoshī,adj.,"wet, moist",36,,,,New Word,5下
炒,chǎo,v.,to stir-fry,19,,,,New Word,5下
彻底,chèdǐ,adj.,"thorough, complete",25,,,,New Word,5下
沉默,chénmò,v.,to be silent,23,,,,New Word,5下
趁,chèn,prep.,"to take advantage of, (to do...) at the time when",19,,,,New Word,5下
称呼,chēnghu,v./n.,"to call, to address; form of address",21,,,,New Word,5下
称赞,chēngzàn,v.,"to praise, to commend",21,,,,New Word,5下
成分,chéngfèn,n.,"element, component, ingredient",35,,,,New Word,5下
成立,chénglì,v.,"to establish, to set up",28,,,,New Word,5下
成人,chéngrén,n.,adult,20,,,,New Word,5下
成长,chéngzhǎng,v.,to grow up,28,,,,New Word,5下
承担,chéngdān,v.,"to undertake, to shoulder",24,,,,New Word,5下
承认,chéngrèn,v.,"to admit, to acknowledge",22,,,,New Word,5下
承受,chéngshòu,v.,"to bear, to endure",25,,,,New Word,5下
池塘,chítáng,n.,pond,34,,,,New Word,5下
翅膀,chìbǎng,n.,wing,34,,,,New Word,5下
出版,chūbǎn,v.,to publish,20,,,,New Word,5下
出色,chūsè,adj.,"remarkable, outstanding",26,,,,New Word,5下
出示,chūshì,v.,"to show, to produce",31,,,,New Word,5下
出席,chūxí,v.,"to attend, to be present",23,,,,New Word,5下
初(级)，中(学),chū(jí)，zhōng(xué),n.,junior high school,28,,,,New Word,5下
除非,chúfēi,conj.,"only if, unless",36,,,,New Word,5下
处理,chǔlǐ,v.,"to handle, to deal with",31,,,,New Word,5下
闯,chuǎng,v.,to go around (to accomplish certain goals),24,,,,New Word,5下
吹,chuī,v.,"to boast, to brag",36,,,,New Word,5下
次要,cìyào,adj.,"less important, secondary",27,,,,New Word,5下
刺激,cìjī,v.,"to stimulate, to excite",30,,,,New Word,5下
从此,cóngcǐ,adv.,"from then on, since then",28,,,,New Word,5下
从事,cóngshì,v.,to engage in,20,,,,New Word,5下
粗糙,cūcāo,adj.,"rough, crude",20,,,,New Word,5下
促进,cùjìn,v.,"to promote, to accelerate",29,,,,New Word,5下
促使,cùshǐ,v.,"to urge, to spur, to prompt",29,,,,New Word,5下
醋,cù,n.,vinegar,19,,,,New Word,5下
答应,dāying,v.,"to agree, to promise",27,,,,New Word,5下
大厦,dàshà,n.,"large building, mansion",33,,,,New Word,5下
大型,dàxíng,adj.,large-scale,32,,,,New Word,5下
担任,dānrèn,v.,"to serve as, to hold the post of",23,,,,New Word,5下
单纯,dānchún,adj.,"simple, mere",22,,,,New Word,5下
单调,dāndiào,adj.,"monotonous, dull",20,,,,New Word,5下
单独,dāndú,adv.,"alone, by oneself",23,,,,New Word,5下
单位,dānwèi,n.,"company, employer",21,,,,New Word,5下
耽误,dānwu,v.,"to delay, to spoil through delay",26,,,,New Word,5下
岛屿,dǎoyǔ,n.,island,34,,,,New Word,5下
倒霉,dǎoméi,adj.,"having bad luck, unlucky",29,,,,New Word,5下
到达,dàodá,v.,"to reach, to arrive",28,,,,New Word,5下
道德,dàodé,n.,"morality, ethics",22,,,,New Word,5下
登记,dēngjì,v.,"to register, to enter one's name",20,,,,New Word,5下
的确,díquè,adv.,"indeed, really",30,,,,New Word,5下
地理,dìlǐ,n.,geography,24,,,,New Word,5下
地震,dìzhèn,v.,earthquake,32,,,,New Word,5下
电池,diànchí,n.,"battery, cell",29,,,,New Word,5下
动画片,dònghuàpiàn,n.,animated cartoon,20,,,,New Word,5下
堆,duī,m.,"heap, pack, pile",28,,,,New Word,5下
对待,duìdài,v.,"to treat, to adopt a certain attitude towards",22,,,,New Word,5下
对手,duìshǒu,n.,"opponent, rival",29,,,,New Word,5下
对象,duìxiàng,n.,"target, object",29,,,,New Word,5下
吨,dūn,m.,metric ton,25,,,,New Word,5下
朵,duǒ,m.,used for flowers and clouds,36,,,,New Word,5下
恶劣,èliè,adj.,"bad, vile",25,,,,New Word,5下
发抖,fādǒu,v.,"to tremble, to shiver",25,,,,New Word,5下
发挥,fāhuī,v.,"to bring into play, to give rein to",27,,,,New Word,5下
发言,fāyán,v.,"to speak, to make a speech",24,,,,New Word,5下
翻,fān,v.,to turn (over),20,,,,New Word,5下
繁荣,fánróng,adj.,"prosperous, thriving",33,,,,New Word,5下
反复,fǎnfù,adv.,"repeatedly, over and over again",34,,,,New Word,5下
反应,fǎnyìng,v.,"to respond, to react",28,,,,New Word,5下
反正,fǎnzhèng,adv.,"(used to indicate the same result despite different circumstances) anyway, no matter what",36,,,,New Word,5下
范围,fànwéi,n.,"scope, range",28,,,,New Word,5下
妨碍,fáng'ài,v.,"to hinder, to impede",29,,,,New Word,5下
肥皂,féizào,n.,soap,34,,,,New Word,5下
废,fèi,adj.,"waste, useless",32,,,,New Word,5下
奋斗,fèndòu,v.,"to fight, to struggle, to strive",36,,,,New Word,5下
风景,fēngjǐng,n.,"scenery, view",25,,,,New Word,5下
风险,fēngxiǎn,n.,risk,25,,,,New Word,5下
否认,fǒurèn,v.,"to deny, to disavow",27,,,,New Word,5下
妇女,fùnǚ,n.,woman,25,,,,New Word,5下
