Unique Key,Word/Phrase,Pinyin,Part of Speech,Meaning,Lesson,Shelley's Notes,Level,Characters Learned Before,Type,Book
吧 (2.05),吧,ba,part.,"used at the end of a sentence to indicate consultation, suggestion, request or command",2.05,,,,New Word,2
白 (2.08),白,bái,adj.,white,2.08,,,,New Word,2
百 (2.14),百,bǎi,num.,hundred,2.14,,,,New Word,2
帮助 (2.10),帮助,bāngzhù,v.,"to help, to assist, to aid",2.10,,,,New Word,2
报纸 (2.03),报纸,bàozhǐ,n.,newspaper,2.03,,,,New Word,2
比 (2.11),比,bǐ,prep.,"than, (superior or inferior) to",2.11,,,,New Word,2
别 (2.10),别,bié,adv.,don't,2.10,,,,New Word,2
宾馆 (2.13),宾馆,bīnguǎn,n.,hotel,2.13,,,,New Word,2
长 (2.04),长,cháng,adj.,long,2.04,,,,New Word,2
唱歌 (2.11),唱歌,chànggē,v.,to sing,2.11,,,,New Word,2
出 (2.02),出,chū,v.,to come/go out,2.02,,,,New Word,2
穿 (2.12),穿,chuān,v.,"to wear, to put on",2.12,,,,New Word,2
次 (2.14),次,cì,m.,time,2.14,,,,New Word,2
从 (2.09),从,cóng,prep.,from,2.09,,,,New Word,2
错 (2.09),错,cuò,adj.,"wrong, incorrect",2.09,,,,New Word,2
打篮球 (2.06),打篮球,dǎlánqiú,,to play basketball,2.06,,,,New Word,2
大家 (2.15),大家,dàjiā,pron.,"all, everybody",2.15,,,,New Word,2
但是 (2.14),但是,dànshì,conj.,"but, still, yet",2.14,,,,New Word,2
到 (2.07),到,dào,v.,"to arrive, to reach",2.07,,,,New Word,2
得 (2.12),得,de,part.,used after a verb or an adjective to introduce a complement of result or degree,2.12,,,,New Word,2
等 (2.08),等,děng,v.,"to wait, to await",2.08,,,,New Word,2
弟弟 (2.12),弟弟,dìdi,n.,young brother,2.12,,,,New Word,2
第一 (2.09),第一,dìyī,num.,first,2.09,,,,New Word,2
懂 (2.09),懂,dǒng,v.,"to understand, to know",2.09,,,,New Word,2
对 (2.05),对,duì,prep.,"(used before a noun or pronoun) to, for",2.05,,,,New Word,2
房间 (2.03),房间,fángjiān,n.,room,2.03,,,,New Word,2
非常 (2.04),非常,fēicháng,adv.,"very, extremely",2.04,,,,New Word,2
服务员 (2.08),服务员,fúwùyuán,n.,"attendant, waiter/waitress",2.08,,,,New Word,2
高 (2.02),高,gāo,adj.,"tall, high",2.02,,,,New Word,2
告诉 (2.08),告诉,gàosu,v.,to tell,2.08,,,,New Word,2
