Word/Phrase,Pinyin,Part of Speech,Meaning,Lesson,Shelley's Notes,Level,Characters Learned Before,Type,Book
哎,āi,int.,used to express surprise or dissatisfaction,7,,,,New Word,5上
唉,ài,int.,sighing sound indicating sadness or regret,7,,,,New Word,5上
爱护,àihù,v.,to take good care of,1,,,,New Word,5上
安慰,ānwèi,v.,"to comfort, to console",8,,,,New Word,5上
安装,ānzhuāng,v.,"to install, to fix",13,,,,New Word,5上
暗暗,àn'àn,adv.,"secretly, to oneself",1,,,,New Word,5上
熬夜,áoyè,v.,to stay up late,6,,,,New Word,5上
摆,bǎi,v.,"to put, to place, to set in order",7,,,,New Word,5上
半夜,bànyè,n.,midnight,1,,,,New Word,5上
傍晚,bàngwǎn,n.,"towards evening, at dusk",3,,,,New Word,5上
包括,bāokuò,v.,to include,3,,,,New Word,5上
宝贝,bǎobèi,n.,baby,12,,,,New Word,5上
宝贵,bǎoguì,adj.,"precious, valuable",15,,,,New Word,5上
保存,bǎocún,v.,"to keep, to save",9,,,,New Word,5上
报道,bàodào,v./n.,"to report, to cover; report",16,,,,New Word,5上
抱怨,bàoyuàn,v.,to complain,1,,,,New Word,5上
背,bēi,v.,to carry on the back,4,,,,New Word,5上
背景,bèijǐng,n.,background,12,,,,New Word,5上
被子,bèizi,n.,quilt,2,,,,New Word,5上
本领,běnlǐng,n.,"ability, capability",4,,,,New Word,5上
彼此,bǐcǐ,n.,each other,8,,,,New Word,5上
必要,bìyào,adj.,"necessary, essential",11,,,,New Word,5上
毕竟,bìjìng,adv.,"after all, in the final analysis",10,,,,New Word,5上
避免,bìmiǎn,v.,"to prevent, to avoid",11,,,,New Word,5上
鞭炮,biānpào,n.,firecrackers,6,,,,New Word,5上
便,biàn,adv.,used to indicate that sth. comes naturally under certain conditions or circumstances,7,,,,New Word,5上
辩论,biànlùn,v.,to debate,10,,,,New Word,5上
表达,biǎodá,v.,"to express, to voice",6,,,,New Word,5上
表面,biǎomiàn,n.,surface,5,,,,New Word,5上
表明,biǎomíng,v.,"to indicate, to manifest",16,,,,New Word,5上
表情,biǎoqíng,n.,(facial) expression,8,,,,New Word,5上
表现,biǎoxiàn,v./n.,"to show, to display; manifestation",9,,,,New Word,5上
播放,bōfàng,v.,"to broadcast, to play (music or videos)",10,,,,New Word,5上
脖子,bózi,n.,neck,10,,,,New Word,5上
不耐烦,bùnàifán,,impatient,1,,,,New Word,5上
不要紧,bùyàojǐn,,it doesn't matter,7,,,,New Word,5上
不得了,bùdéliǎo,adj.,"extremely, exceedingly",2,,,,New Word,5上
不行,bùxíng,v.,"(indicating degree, intensity, etc.) terribly, extremely",4,,,,New Word,5上
不足,bùzú,adj./v.,insufficient; to be less than,8,,,,New Word,5上
布,bù,n.,cloth,18,,,,New Word,5上
财产,cáichǎn,n.,"property, fortune",8,,,,New Word,5上
采取,cǎiqǔ,v.,"to take, to adopt",16,,,,New Word,5上
采用,cǎiyòng,v.,"to use, to employ",11,,,,New Word,5上
彩虹,cǎihóng,n.,rainbow,3,,,,New Word,5上
踩,cǎi,v.,"to step on, to tread on",13,,,,New Word,5上
参与,cānyù,v.,to take part in,16,,,,New Word,5上
惭愧,cánkuì,adj.,ashamed,4,,,,New Word,5上
(躲)藏,(duǒ)cáng,v.,to hide,5,,,,New Word,5上
操场,cāochǎng,n.,"sports ground, playground",10,,,,New Word,5上
曾经,céngjīng,adv.,"once, in the past",9,,,,New Word,5上
差距,chājù,n.,"gap, difference",10,,,,New Word,5上
差异,chāyì,n.,difference,16,,,,New Word,5上
插,chā,v.,"to insert, to stick in",10,,,,New Word,5上
产品,chǎnpǐn,n.,"product, produce",11,,,,New Word,5上
产生,chǎnshēng,v.,"to emerge, to arise",5,,,,New Word,5上
长途,chángtú,adj.,long-distance,2,,,,New Word,5上
吵,chǎo,v./adj.,to make a noise; noisy,1,,,,New Word,5上
吵架,chǎojià,v.,to quarrel,1,,,,New Word,5上
称,chēng,v.,"to call, to give sb. a particular name",7,,,,New Word,5上
