Unique Key,Word/Phrase,Pinyin,Part of Speech,Meaning,Lesson,Shelley's Notes,Level,Characters Learned Before,Type,Book
阿姨 (3.14),阿姨,āyí,n.,aunt,3.14,,,,New Word,3
阿 (3.01),阿,ā,part.,used at the end of a sentence to indicate confirmation or defense,3.01,,,,New Word,3
矮 (3.10),矮,ǎi,adj.,short,3.10,,,,New Word,3
爱好 (3.17),爱好,àihào,n.,"hobby, interest",3.17,,,,New Word,3
安静 (3.08),安静,ānjìng,adj.,quiet,3.08,,,,New Word,3
把 (3.02),把,bǎ,m.,used for things with a handle,3.02,,,,New Word,3
班 (3.09),班,bān,n.,class,3.09,,,,New Word,3
搬 (3.01),搬,bān,v.,"to move, to carry",3.01,,,,New Word,3
办法 (3.17),办法,bànfǎ,n.,"way, approach",3.17,,,,New Word,3
办公室 (3.02),办公室,bàngōngshì,n.,office,3.02,,,,New Word,3
半 (3.07),半,bàn,num.,half,3.07,,,,New Word,3
帮忙 (3.06),帮忙,bāngmáng,v.,to help,3.06,,,,New Word,3
包 (3.12),包,bāo,n.,"bag, sack",3.12,,,,New Word,3
饱 (3.17),饱,bǎo,adj.,"full, having eaten one's fill",3.17,,,,New Word,3
北方 (3.01),北方,běifāng,n.,"north, northern part",3.01,,,,New Word,3
被 (3.20),被,bèi,prep.,used to indicate the passive voice,3.20,,,,New Word,3
鼻子 (3.16),鼻子,bízi,n.,nose,3.16,,,,New Word,3
比较 (3.09),比较,bǐjiào,adv.,"fairly, rather",3.09,,,,New Word,3
比赛 (3.04),比赛,bǐsài,n.,"match, competition",3.04,,,,New Word,3
笔记本(电脑) (3.11),笔记本(电脑),bǐjìběn(diànnǎo),n.,"notebook, laptop",3.11,,,,New Word,3
必须 (3.17),必须,bìxū,adv.,must,3.17,,,,New Word,3
变化 (3.08),变化,biànhuà,v.,to change,3.08,,,,New Word,3
别人 (3.16),别人,biéren,n.,other people,3.16,,,,New Word,3
冰箱 (3.14),冰箱,bīngxiāng,n.,refrigerator,3.14,,,,New Word,3
不但……而且…… (3.18),不但……而且……,bùdàn……érqiě……,conj.,not only...but also...,3.18,,,,New Word,3
菜单 (3.14),菜单,càidān,n.,menu,3.14,,,,New Word,3
参加 (3.09),参加,cānjiā,v.,to participate,3.09,,,,New Word,3
草 (3.05),草,cǎo,n.,grass,3.05,,,,New Word,3
层 (3.08),层,céng,m.,used for floors,3.08,,,,New Word,3
差 (3.07),差,chà,v.,to fall short of,3.07,,,,New Word,3
超市 (3.04),超市,chāoshì,n.,supermarket,3.04,,,,New Word,3
衬衫 (3.03),衬衫,chènshān,n.,shirt,3.03,,,,New Word,3
成绩 (3.20),成绩,chéngjì,n.,"grade, performance, achievement",3.20,,,,New Word,3
城市 (3.16),城市,chéngshì,prep.,other than,3.16,,,,New Word,3
迟到 (3.07),迟到,chídào,v.,to be late,3.07,,,,New Word,3
除了 (3.15),除了,chúle,prep.,other than,3.15,,,,New Word,3
船 (3.19),船,chuán,n.,"boat, ship",3.19,,,,New Word,3
春(天) (3.05),春(天),chūn(tiān),n.,spring,3.05,,,,New Word,3
词典 (3.11),词典,cídiǎn,n.,dictionary,3.11,,,,New Word,3
聪明 (3.04),聪明,cōngming,adj.,"clever, smart",3.04,,,,New Word,3
打扫 (3.14),打扫,dǎsǎo,v.,"to clean, to sweep",3.14,,,,New Word,3
打算 (3.01),打算,dǎsuàn,n./v.,plan; to intend,3.01,,,,New Word,3
带 (3.01),带,dài,v.,"to take along, to bring",3.01,,,,New Word,3
