Unique Key,Word/Phrase,Pinyin,Part of Speech,Meaning,Lesson,Shelley's Notes,Level,Characters Learned Before,Type,Book
[5.04] 诚恳 New Word,诚恳,chéngkěn,adj.,"sincere, earnest",5.04,,,,New Word,5上
[5.12] 程度 New Word,程度,chéngdù,n.,"degree, level",5.12,,,,New Word,5上
[5.08] 吃亏 New Word,吃亏,chīkuī,v.,to suffer losses,5.08,,,,New Word,5上
[5.15] 迟早 New Word,迟早,chízǎo,adv.,sooner or later,5.15,,,,New Word,5上
[5.11] 持续 New Word,持续,chíxù,v.,"to continue, to last",5.11,,,,New Word,5上
[5.05] 冲 New Word,冲,chōng,v.,"to rush, to dash",5.05,,,,New Word,5上
[5.14] 充分 New Word,充分,chōngfèn,adj.,"ample, sufficient",5.14,,,,New Word,5上
[5.05] 充满 New Word,充满,chōngmǎn,v.,to be full of,5.05,,,,New Word,5上
[5.13] 重复 New Word,重复,chóngfù,v.,to repeat,5.13,,,,New Word,5上
[5.08] 宠物 New Word,宠物,chǒngwù,n.,pet,5.08,,,,New Word,5上
[5.18] 抽象 New Word,抽象,chōuxiàng,adj./v.,abstract; to draw a correct conclusion from objective facts,5.18,,,,New Word,5上
[5.18] 丑(陋) New Word,丑(陋),chǒu(lòu),adj.,ugly,5.18,,,,New Word,5上
[5.18] 出自 New Word,出自,chūzì,v.,"to come from, to stem from",5.18,,,,New Word,5上
[5.06] 除 New Word,除,chú,v.,"to get rid of, to remove",5.06,,,,New Word,5上
[5.06] 除夕 New Word,除夕,chúxī,n.,eve of the Lunar New Year/Spring Festival,5.06,,,,New Word,5上
[5.05] 传说 New Word,传说,chuánshuō,n.,legend,5.05,,,,New Word,5上
[5.11] 传统 New Word,传统,chuántǒng,n./adj.,tradition; traditional,5.11,,,,New Word,5上
[5.11] 窗帘 New Word,窗帘,chuānglián,n.,curtain,5.11,,,,New Word,5上
[5.14] 创造 New Word,创造,chuàngzào,v.,"to create, to produce",5.14,,,,New Word,5上
[5.08] 词汇 New Word,词汇,cíhuì,n.,vocabulary,5.08,,,,New Word,5上
[5.03] 辞职 New Word,辞职,cízhí,v.,to quit a job,5.03,,,,New Word,5上
[5.06] 此外 New Word,此外,cǐwài,conj.,"in addition, moreover",5.06,,,,New Word,5上
[5.05] 从而 New Word,从而,cóng'ér,conj.,"thus, consequently",5.05,,,,New Word,5上
[5.04] 从前 New Word,从前,cóngqián,n.,"before, in the past",5.04,,,,New Word,5上
[5.01] 催 New Word,催,cuī,v.,"to urge, to push",5.01,,,,New Word,5上
[5.16] 存在 New Word,存在,cúnzài,v.,to exist,5.16,,,,New Word,5上
[5.16] 措施 New Word,措施,cuòshī,n.,"measure, step",5.16,,,,New Word,5上
[5.16] 达到 New Word,达到,dádào,v.,"to reach, to attain",5.16,,,,New Word,5上
[5.02] 打工 New Word,打工,dǎgōng,v.,"to work for others, to do a temporary job",5.02,,,,New Word,5上
[5.14] 打交道 New Word,打交道,dǎjiāodào,,to make contact with,5.14,,,,New Word,5上
[5.04] 打听 New Word,打听,dǎting,v.,to inquire about,5.04,,,,New Word,5上
[5.09] 大方 New Word,大方,dàfang,adj.,generous,5.09,,,,New Word,5上
[5.13] 呆 New Word,呆,dāi,adj./v.,"dull, dumb; to stagnate",5.13,,,,New Word,5上
[5.14] 代表 New Word,代表,dàibiǎo,n./v.,typical case; to represent,5.14,,,,New Word,5上
[5.03] 待遇 New Word,待遇,dàiyù,n.,pay and perks,5.03,,,,New Word,5上
