Word/Phrase,Pinyin,Part of Speech,Meaning,Lesson
政府,zhèngfǔ,n.,government,33
支,zhī,v.,"to prop up, to support",20
直,zhí,adv.,"continuously, straight",36
指导,zhǐdǎo,v.,"to guide, to instruct",24
指挥,zhǐhuī,v.,"to command, to direct",35
至于,zhìyú,prep.,"as for, as to",26
制作,zhìzuò,v.,"to make, to produce",28
秩序,zhìxù,n.,"order, orderly state",35
中旬,zhōngxún,n.,middle ten days of a month,33
种类,zhǒnglèi,n.,"kind, category",34
重量,zhòngliàng,n.,weight,25
逐步,zhúbù,adv.,"gradually, step by step",32
主观,zhǔguān,adj.,subjective,33
主题,zhǔtí,n.,"theme, subject",24
主席,zhǔxí,n.,chairperson,23
主张,zhǔzhāng,v./n.,"to hold, to advocate; view, stand",22
煮,zhǔ,v.,"to boil, to stew",19
抓,zhuā,v.,"to grab, to seize",34
抓紧,zhuājǐn,v.,to firmly grasp,21
转变,zhuǎnbiàn,v.,"to change, to transform",22
装饰,zhuāngshì,n.,decoration,36
状況,zhuàngkuàng,n.,"condition, situation, state",35
追求,zhuīqiú,v.,"to pursue, to go after",21
咨询,zīxún,v.,"to consult, to seek advice",33
资金,zījīn,n.,"capital, fund",29
资源,zīyuán,n.,resource,32
紫,zǐ,adj.,purple,19
自从,zìcóng,prep.,ever since,22
自动,zìdòng,adv.,"voluntarily, spontaneously",35
自豪,zìháo,adj.,proud,36
自觉,zìjué,adj.,"conscious, on one's own initiative",32
自私,zìsī,adj.,selfish,22
自愿,zìyuàn,v.,to volunteer (to do sth.),33
总算,zǒngsuàn,adv.,"at last, finally",26
总之,zǒngzhī,conj.,"in short, in brief",34
组织,zǔzhī,v.,to organize,23
最初,zuìchū,n.,"first, earliest",21
尊敬,zūnjìng,v.,"to respect, to esteem",32
遵守,zūnshǒu,v.,"to abide by, to observe",23
作文,zuòwén,n.,"essay, composition",22
