Word/Phrase,Pinyin,Part of Speech,Meaning,Lesson
所,suǒ,part.,used before a verb followed by a noun which is the receiver of the action,11
所谓,suǒwèi,adj.,so-called,14
锁,suǒ,n./v.,lock; to lock up,2
台阶,táijiē,n.,flight of steps,3
太太,tàitai,n.,wife,3
逃,táo,v.,to escape,6
桃,táo,n.,peach,13
淘气,táoqì,adj.,"naughty, mischievous",8
套,tào,m.,"set, suite",2
体会,tǐhuì,v./n.,"to learn from experience, to realize; feeling",17
(代)替,(dài)tì,prep.,"for, on behalf of",6
天真,tiānzhēn,adj.,"naïve, innocent",6
调皮,tiáopí,adj.,"naughty, mischievous",8
调整,tiáozhěng,v./n.,"to adjust, to revise; adjustment",18
挑战,tiǎozhàn,v./n.,"to challenge, to battle; challenge",15
通常,tōngcháng,adv.,usually,14
投篮,tóu lán,v.,to shoot (a basket),13
投入,tóurù,v./n./adj.,"to put into, to spend on; input; devoted",17
突出,tūchū,adj.,"prominent, salient",9
推广,tuīguǎng,v.,"to popularize, to spread",12
推荐,tuījiàn,v.,to recommend,17
外公,wàigōng,n.,maternal grandfather,6
完整,wánzhěng,adj.,complete,8
危害,wēihài,v.,"to harm, to jeopardize",11
微笑,wēixiào,v./n.,to smile; smile,2
为,wéi,v.,to become,5
为,wéi,prep.,"(often. used together with ""所"") by (sb.)",14
围绕,wéirào,v.,to center around,10
尾巴,wěiba,n.,tail,7
委屈,wěiqu,v./adj.,to do (sb.) wrong; feeling wronged,4
未来,wèilái,n.,future,3
位于,wèiyú,v.,"to be located at (in, on, etc.)",9
位置,wèizhi,n.,"position, location",18
胃,wèi,n.,stomach,9
胃口,wèikǒu,n.,appetite,9
温暖,wēnnuǎn,adj./v.,warm; to make sb./sth. warm,2
文学家,wénxuéjiā,n.,"writer, man of letters",9
文字,wénzì,n.,written language,5
稳定,wěndìng,adj.,stable,3
卧室,wòshì,n.,bedroom,2
屋(子),wū(zi),n.,house,2
无奈,wúnài,v.,"to have no way out, to be helpless",6
勿,wù,adv.,(used in imperative sentences) don't,3
物质,wùzhì,n.,material,4
戏剧,xìjù,n.,"drama, play",17
细节,xìjié,n.,detail,1
瞎,xiā,v./adv.,"to be blind; blindly, foolishly",7
吓,xià,v.,"to frighten, to scare",6
显得,xiǎnde,v.,"to seem, to appear",8
显示,xiǎnshì,v.,"to show, to display",10
县,xiàn,n.,county,2
现代,xiàndài,n./adj.,modern times; modern,11
现实,xiànshí,n.,reality,12
现象,xiànxiàng,n.,phenomenon,16
限制,xiànzhì,v.,"to limit, to restrict",8
相处,xiāngchǔ,v.,to get along (with one another),8
相当,xiāngdāng,v.,to be equal to,11
相对,xiāngduì,adj.,"relative, comparative",16
相关,xiāngguān,v.,"to correlate, to be relevant",12
享受,xiǎngshòu,v.,to enjoy,11
想象,xiǎngxiàng,v.,to imagine,2
项,xiàng,m.,used for itemized things,1
项目,xiàngmù,n.,"item, project",13
(大)象,(dà)xiàng,n.,elephant,7
消费,xiāofèi,v.,to consume,8
销售,xiāoshòu,v.,"to sell, to market",12
孝顺,xiàoshùn,v./adj.,to show filial piety; obedient and respectful to one's parents,4
斜,xié,adj.,"oblique, slanting",5
写作,xiězuò,v.,to write,9
心理,xīnlǐ,n.,"mentality, psychology",11
欣赏,xīnshǎng,v.,"to enjoy, to admire",18
行为,xíngwéi,n.,behavior,8
形成,xíngchéng,v.,"to form, to take shape",5
形容,xíngróng,v.,"to describe, to depict",9
形式,xíngshì,n.,"form, mode",14
形势,xíngshì,n.,"situation, state of affairs",15
形象,xíngxiàng,adj.,vivid,9
形状,xíngzhuàng,n.,shape,5
兄弟,xiōngdì,n.,brother,10
叙述,xùshù,v.,to narrate,1
宣传,xuānchuán,v.,"to publicize, to promote",12
学问,xuéwèn,n.,"knowledge, learning",9
寻找,xúnzhǎo,v.,"to look for, to seek",7
询问,xúnwèn,v.,"to ask, to inquire",6
训练,xùnliàn,v.,to train,13
迅速,xùnsù,adj.,"quick, rapid",17
牙齿,yáchǐ,n.,tooth,7
样式,yàngshì,n.,"style, pattern",14
摇,yáo,v.,"to wave, to shake",7
咬,yǎo,v.,to bite,6
要不,yàobù,conj.,"otherwise, or else",8
业务,yèwù,n.,"professional work, business",12
业余,yèyú,adj.,amateur,18
夜,yè,n.,night,2
依然,yīrán,adv.,"still, nonetheless",17
一辈子,yībèizi,n.,all one's life,2
一再,yīzài,adv.,over and over again,13
移动,yídòng,v.,to move,12
移民,yímín,n.,immigrant,12
乙,yǐ,n.,second,13
以,yǐ,conj.,"in order to, so as to",17
以及,yǐjí,conj.,"and also, as well",12
以来,yǐlái,n.,since,2
亿,yì,num.,hundred million,5
意外,yìwài,adj./n.,unexpected; accident,16
意义,yìyì,n.,"meaning, significance",6
因而,yīn'ér,conj.,"therefore, thus",14
银(子),yín(zi),n.,silver,4
英俊,yīngjùn,adj.,handsome,6
英雄,yīngxióng,n.,hero,6
营养,yíngyǎng,n.,nutrition,16
影子,yǐngzi,n.,shadow,6
应用,yìngyòng,v.,to apply,12
硬,yìng,adj.,"hard, tough",7
拥抱,yōngbào,v.,"to hug, to embrace",3
用途,yòngtú,n.,"use, purpose",11
优美,yōuměi,adj.,"graceful, beautiful",5
悠久,yōujiǔ,adj.,"long-standing, age-old",5
幼儿园,yòu'éryuán,n.,kindergarten,13
于,yú,prep.,"from, out of",5
愿望,yuànwàng,n.,"wish, hope",11
晕,yūn,v.,"to faint, to pass out",5
运用,yùnyòng,v.,"to put into practice, to apply",17
灾害,zāihài,n.,"disaster, calamity",6
再三,zàisān,adv.,again and again,15
赞美,zànměi,v.,"to praise, to extol",5
糟糕,zāogāo,adj.,"bad, awful",17
造成,zàochéng,v.,"to cause, to give rise to",13
则,zé,m.,(used for news or writings) piece,7
则,zé,conj.,(indicating contrast) while,14
占,zhàn,v.,"to occupy, to take, to hold, to make up",4
战争,zhànzhēng,n.,war,4
长辈,zhǎngbèi,n.,senior member of a family,14
招待,zhāodài,v.,"to receive, to entertain",9
着火,zháohuǒ,v.,to catch fire,3
召开,zhàokāi,v.,"to hold (a meeting), to convene",12
针对,zhēnduì,v.,to be targeted at,12
阵,zhèn,m.,used for a short period or spell of an оссurrence or action,2
争论,zhēnglùn,v.,"to argue, to dispute",10
争取,zhēngqǔ,v.,"to strive for, to endeavor to",17
整个,zhěnggè,adj.,"whole, entire",6
整体,zhěngtǐ,n.,"whole, entirety",8
证据,zhèngjù,n.,"proof, evidence",18
挣,zhèng,v.,to earn,2
支,zhī,m.,"used for long, thin, inflexible objects",7
至今,zhìjīn,adv.,up to now,4
志愿者,zhìyuànzhě,n.,volunteer,16
制造,zhìzào,v.,"to make, to produce",6
治(疗),zhì(liáo),v.,"to treat, to cure",5
智慧,zhìhuì,n.,wisdom,7
中心,zhōngxīn,n.,center,12
重大,zhòngdà,adj.,"great, significant",10
猪,zhū,n.,pig,8
竹子,zhúzi,n.,bamboo,14
逐渐,zhújiàn,adv.,gradually,10
主持,zhǔchí,v./n.,"to host, to preside over; host/hostess",17
主动,zhǔdòng,adj.,on one's own initiative,15
主人,zhǔrén,n.,"master, owner",4
注册,zhùcè,v.,to register,12
专家,zhuānjiā,n.,expert,11
装,zhuāng,v.,"to load, to hold",13
装修,zhuāngxiū,v.,"to decorate (a house, room, etc.)",2
状态,zhuàngtài,n.,"state, status",11
撞,zhuàng,v.,to bump against,3
追,zhuī,v.,"to chase, to go after",6
姿势,zīshì,n.,"pose, posture",7
资格,zīgé,n.,qualification,15
资料,zīliào,n.,"data, material",9
自杀,zìshā,v.,to commit suicide,1
自由,zìyóu,n./adj.,freedom; free,18
综合,zōnghé,v./adj.,"to synthesize, to summarize; comprehensive, integrated",8
总裁,zǒngcái,n.,president (of a company),12
总共,zǒnggòng,adv.,"altogether, in total",16
阻止,zǔzhǐ,v.,"to stop, to prevent",15
组,zǔ,n./m.,"group, team, set",18
组成,zǔchéng,v.,"to form, to constitute",14
组合,zǔhé,v./n.,to combine; combination,14
醉,zuì,v.,to be drunk,2
作品,zuòpǐn,n.,work (of art or literature),18
作为,zuòwéi,v./prep.,"to be; as, being",9
作战,zuòzhàn,v.,to fight a battle,15
