Word/Phrase,Pinyin,Part of Speech,Meaning,Lesson
合格,hégé,adj.,"qualified, up to standard",20
合适,héshì,adj.,"fit, suitable",15
盒子,hézi,n.,"box, case",14
厚,hòu,adj.,"deep, profound",13
互联网,Hùliánwǎng,n.,Internet,13
护士,hùshi,n.,nurse,15
怀疑,huáiyí,v.,"to suspect, to doubt",15
活泼,huópo,adj.,"lively, vivacious",17
火,huǒ,adj.,"hot, popular",18
基础,jīchǔ,n.,"basis, foundation",13
激动,jīdòng,adj.,"excited, emotional",16
记者,jìzhě,n.,"journalist, reporter",16
技术,jìshù,n.,technology,18
既然,jìrán,conj.,"since, as, now that",14
继续,jìxù,v.,"to go on, to continue",13
加油站,jiāyóuzhàn,n.,gas station,20
假,jiǎ,adj.,"false, fake",15
减少,jiǎnshǎo,v.,"to reduce, to decrease",14
降落,jiàngluò,v.,"to descend, to land",18
交通,jiāotōng,n.,"traffic, communication",18
郊区,jiāoqū,n.,"suburb, outskirts",16
骄傲,jiāo'ào,adj.,"arrogant, conceited",15
饺子,jiǎozi,n.,"jiaozi, dumpling",19
教育,jiàoyù,v.,to educate,12
接着,jiēzhe,adv.,"then, immediately after that",18
节,jié,m.,"section, length",12
节约,jiéyuē,v.,"to economize, to save",12
解释,jiěshì,v.,to explain,12
进行,jìnxíng,v.,"to conduct, to carry out",13
禁止,jìnzhǐ,v.,"to prohibit, to forbid",19
京剧,Jīngjù,n.,Beijing opera,13
精彩,jīngcǎi,adj.,"wonderful, splendid",11
警察,jǐngchá,n.,police,18
竞争,jìngzhēng,v.,to compete,17
究竟,jiūjìng,adv.,(used in questions for emphasis) exactly,20
举,jǔ,v.,"to give, to enumerate",18
拒绝,jùjué,v.,"to refuse, to reject",14
开心,kāixīn,adj.,"happy, glad",13
看法,kànfǎ,n.,"viewpoint, opinion",11
烤鸭,kǎoyā,n.,roast duck,20
棵,kē,m.,used for plants,20
可怜,kělián,adj.,"pitiable, poor",20
可惜,kěxī,adj.,"pitiful, regretful",12
客厅,kètīng,n.,living room,11
空,kōng,adj.,empty,14
恐怕,kǒngpà,adv.,(indicating an estimation) I guess...,16
苦,kǔ,adj.,bitter,13
矿泉水,kuàngquánshuǐ,n.,mineral water,18
垃圾桶,lājītǒng,n.,"dustbin, trash can",14
辣,là,adj.,"hot, spicy",20
来得及,láidejí,v.,there's still time (to do sth.),11
来自,láizì,v.,to be from,13
懒,lǎn,adj.,lazy,15
老虎,lǎohǔ,n.,tiger,17
冷静,lěngjìng,adj.,"calm, composed",16
礼貌,lǐmào,n.,polite,16
理发,lǐfà,v.,to get a haircut,19
力气,lìqi,n.,"physical strength, effort",12
厉害,lìhai,adj.,"awesome, serious",11
连,lián,prep.,even,11
凉快,liángkuai,adj.,pleasantly cool,17
零钱,língqián,n.,small change,19
流利,liúlì,adj.,fluent,11
旅行,lǚxíng,v.,"to travel, to tour",20
马虎,mǎhu,adj.,"careless, slipshod",16
毛,máo,n.,"hair, fur",17
毛巾,máojīn,n.,towel,14
美丽,měilì,adj.,beautiful,14
梦,mèng,n.,dream,17
迷路,mílù,v.,to lose one's way,18
密码,mìmǎ,n.,password,18
秒,miǎo,m.,"second, 1/60 minute",18
民族,mínzú,n.,"nationality, ethnic group",20
目的,mùdì,n.,"aim, purpose",14
难受,nánshòu,adj.,"sad, unhappy",17
內容,nèiróng,n.,content,11
弄,nòng,v.,"to do, to make",15
暖,nuǎn,adj.,warm,14
暖和,nuǎnhuo,adj.,warm,17
偶尔,ǒu'ěr,adv.,"occasionally, once in a while",13
排队,páiduì,v.,"to form a line, to line up",17
排列,páiliè,v.,"to put in order, to arrange",17
批评,pīpíng,v.,to criticize,15
骗,piàn,v.,"to cheat, to deceive",15
乒乓球,pīngpāngqiú,n.,"table tennis, ping-pong",19
破,pò,adj.,"broken, torn",19
普遍,pǔbiàn,adj.,"universal, common",13
普通话,pǔtōnghuà,n.,Mandarin Chinese,20
千万,qiānwàn,adv.,"must, to be sure to",15
签证,qiānzhèng,n.,visa,16
敲,qiāo,v.,"to knock, to beat, to strike",15
桥,qiáo,n.,bridge,18
全部,quánbù,n.,"all, whole",12
然而,rán'ér,conj.,"but, however",11
热闹,rènao,adj.,"busy, bustling",17
任务,rènwu,n.,"task, mission",12
扔,rēng,v.,to throw away,14
仍然,réngrán,adv.,"still, yet",17
日记,rìjì,n.,"diary, journal",18
入口,rùkǒu,n.,entrance,17
森林,sēnlín,n.,forest,17
商量,shāngliang,v.,"to discuss, to consult",12
稍微,shāowēi,adv.,"a little, slightly",13
タ(子,タ(zi,n.,spoon,12
社会,shèhuì,n.,society,17
申请,shēnqǐng,v.,to apply for,13
省,shěng,n.,province,13
省,shěng,v.,"to save, to economize",14
剩,shèng,v.,"to be left over, to remain",17
失望,shīwàng,v.,disappointed,16
十分,shífēn,adv.,"very, extremely",13
使用,shǐyòng,v.,to use,12
世纪,shìjì,iw n.,century,18
是否,shìfǒu,dadv.,"if, whether",18
收,shōu,v.,to receive,18
收拾,shōushi,v.,"to put in order, to pack",20
首都,shǒudū,n.,capital (of a country),20
受不了,shòubùliǎo,,"cannot stand, cannot bear",18
输,shū,v.,"to lose, to suffer defeat",16
数量,shùliàng,n.,"quantity, amount",14
顺序,shùnxù,n.,"order, sequence",11
死,sǐ,adj.,"rigid, inflexible",12
速度,sùdù,n.,speed,14
塑料袋,sùliàodài,n.,plastic bag,14
酸,suān,adj.,"sour, tart",20
随着,suízhe,prep.,"along with, as",13
孙子,Sūnzǐ,n.,grandson,15
抬,tái,v.,"to lift, to raise",19
弹钢琴,dàngāngqín,,to play the piano,15
汤,tāng,n.,soup,20
趟,tàng,m.,(used for a round trip) time,17
讨论,tǎolùn,v.,"to discuss, to talk over",13
填空,tiánkòng,v.,to fill in a blank,11
停,tíng,v.,"to stop, to cease",14
同情,tóngqíng,v.,to show sympathy for,16
同时,tóngshí,conj.,"at the same time, meanwhile",11
推,tuī,v.,"to put off, to postpone",16
推迟,tuīchí,v.,"to postpone, to delay",20
脱 ,tuō,v.,to take off,19
网站,wǎngzhàn,n.,website,18
危险,wēixiǎn,adj.,dangerous,18
卫生间,wèishēngjiān,n.,"restroom, bathroom",14
温度,wēndù,n.,temperature,14
文章,wénzhāng,n.,"essay, article",11
污染,wūrǎn,v.,to pollute,14
无,wú,v.,"not to have, to be without",12
无法,wúfǎ,v.,"cannot to, to be unable (to do sth.)",12
无论,wúlùn,conj.,"regardless of, no matter (what, how, when, etc.)",11
误会,wùhuì,n.,misunderstanding,12
咸,xián,adj.,salty,18
相反,xiāngfǎn,conj.,on the contrary,12
相同,xiāngtóng,adj.,same,11
香,xiāng,adj.,"fragrant, scented",20
详细,xiángxì,adj.,detailed,12
响,xiǎng,v.,"to sound, to ring",15
小吃,xiǎochī,n.,small and cheap dishes,20
小伙子,xiǎohuǒzi,n.,young man,16
笑话,xiàohuà,n.,joke,20
信封,xìnfēng,n.,envelope,18
信息,xìnxī,n.,"news, information",18
行,xíng,v.,"to be OK, to be all right",14
醒,xǐng,v.,"to wake up, to be awake",15
性别,xìngbié,n.,"sex, gender",19
学期,xuéqī,n.,"term, semester",19
牙膏,yágāo,n.,toothpaste,14
呀,ya,part.,"a variant of the interjection ""阿"", used at the end of a question to soften the tone",16
严格,yángé,adj.,"strict, rigorous",17
盐,yán,n.,salt,12
眼镜,yǎnjìng,n.,"glasses, spectacles",19
演出,yǎnchū,v.,"to perform, to put on (a show)",13
演员,yǎnyuán,n.,actor/actress,13
养成,yǎngchéng,v.,"to develop, to form",11
钥匙,yàoshi,n.,key,20
也许,yěxǔ,adv.,"maybe, perhaps",12
叶子,yèzi,n.,leaf,12
页,yè,m.,page,11
以,yǐ,prep.,"via, by means of",14
意见,yìjiàn,n.,"opinion, suggestion",12
引起,yǐnqǐ,v.,"to cause, to lead to",12
由,yóu,prep.,by (sb.),13
邮局,yóujú,n.,post office,18
友好,yǒuhǎo,adj.,friendly,12
有趣,yǒuqù,adj.,"interesting, fun",13
于是,yúshì,conj.,"hence, therefore",14
羽毛球,yǔmáoqiú,n.,badminton,19
语法,yǔfǎ,n.,grammar,11
语言,yǔyán,n.,language,12
预习,yùxí,v.,to prepare lessons before class,16
原谅,yuánliàng,v.,to forgive,16
阅读,yuèdú,v.,to read,11
云,yún,n.,cloud,17
允许,yǔnxǔ,v.,"to allow, to permit",18
杂志,zázhì,n.,magazine,11
脏,zāng,adj.,dirty,14
增加,zēngjiā,v.,"to increase, to add",11
占线,zhànxiàn,v.,"(of a telephone line) to be busy, to be engaged",19
照,zhào,v.,"to take a picture, to photograph",17
整理,zhěnglǐ,v.,"to tidy up, to arrange",15
正常,zhèngcháng,adj.,"normal, regular",13
之,zhī,part.,connecting the modifier and the word modified,11
直接,zhíjiē,adj.,"direct, straight",12
只好,zhǐhǎo,adv.,"cannot but, to be forced to",11
纸袋,zhǐdài,n.,paper bag,13
重,zhòng,adj.,"heavy, weighty",14
重点,chóngdiǎn,n.,"focal point, emphasis",16
重视,zhòngshì,v.,to attach importance to,16
祝贺,zhùhè,v.,to congratulate,20
著名,zhùmíng,adj.,"famous,well-known",11
转,zhuǎn,v.,"to turn, to shift",19
准确,zhǔnquè,adj.,"accurate, precise",11
仔细,zǐxì,adj.,"careful, meticulous",12
自信,zìxìn,adj.,self-confident,16
租,zū,v.,"to rent, to lease",19
尊重,zūnzhòng,v.,to respect,16
左右,zuǒyòu,n.,"around, or so",15
作用,zuòyòng,n.,function,12
作者,zuòzhě,n.,author,18
座,zuò,m.,"used for bridges, mountains, buildings, etc.",18
座位,zuòwèi,n.,seat,19
