Word/Phrase,Pinyin,Part of Speech,Meaning,Lesson
安全,ānquán,adj.,"safe, secure",18
棒,bàng,adj.,"excellent, amazing",15
包子,bāozi,n.,steamed stuffed bun,19
保护,bǎohù,v.,to protect,12
报名,bàomíng,v.,"to apply, to sign up",16
抱,bào,v.,"to hold in the arms, to hug",17
抱歉,bàoqiàn,v.,to be sorry,14
笨,bèn,adj.,"stupid, foolish",15
遍,biàn,m.,(denoting an action from beginning to end) time,13
表格,biǎogé,n.,"form, table",16
表示,biǎoshì,v.,"to express, to indicate",11
表演,biǎoyǎn,v.,"to act, to perform",13
表扬,biǎoyáng,v.,"to praise, to commend",15
并且,bìngqiě,conj.,and,12
博士,bóshì,n.,doctor (academic degree),16
部分,bùfen,n.,part,13
猜,cāi,v.,to guess,11
参观,cānguān,v.,"to visit, to look around",16
餐厅,cāntīng,n.,restaurant,13
厕所,cèsuǒ,n.,"lavatory, toilet",15
场,chǎng,m.,"used for sports or recreational events, etc.",19
乘坐,chéngzuò,v.,"to take (a vehicle), to ride (in a vehicle)",14
吃惊,chījīng,v.,"to be surprised, to be shocked",13
出差,chūchāi,v.,to go on a business trip,14
出发,chūfā,v.,"to depart, to set off",20
出生,chūshēng,v.,to be born,19
厨房,chúfáng,n.,kitchen,19
传真,chuánzhēn,v.,to send by fax,16
词语,cíyǔ,n.,"word, expression",11
粗心,cūxīn,adj.,"careless, thoughtless",15
存,cún,v.,"to store, to keep",20
错误,cuòwù,adj.,wrong,13
打扮,dǎban,v.,"to dress up, to deck out",20
打印,dǎyìn,v.,to print out,19
打招呼,dǎzhāohu,,"to greet, to say hello",19
打针,dǎzhēn,v.,to give or have an injection,15
大概,dàgài,adv.,"roughly, approximately",13
大约,dàyuē,adv.,"approximately, about",13
戴,dài,v.,to wear (accessories),19
刀,dāo,n.,knife,19
导游,dǎoyóu,n.,tour guide,16
到底,dàodǐ,adv.,(used in questions for emphasis) ... on earth,16
倒,dào,adv.,"(used to indicate contrast) yet, actually",17
道歉,dàoqiàn,v.,to apologize,19
得意,déyì,adj.,"complacent, gloating",14
登机牌,dēngjīpái,n.,boarding pass,20
底,dǐ,n.,"bottom, base",17
地点,dìdiǎn,n.,"place, site",18
地球,dìqiú,n.,"earth, globe",14
地址,dìzhǐ,n.,address,18
丟,diū,v.,"to throw, to cast",14
对话,duìhuà,v.,to have a dialogue,20
对面,duìmiàn,n.,"opposite, across",20
对于,duìyú,prep.,"for, to, with regard to",12
儿童,értóng,n.,children,15
房东,fángdōng,n.,landlord/landlady,19
放暑假,fàngshǔjiǎ,,to be on summer vacation,17
否则,fǒuzé,conj.,"or, otherwise",11
父亲,fùqīn,n.,father,15
付款,fùkuǎn,,to pay a sum of money,18
复印,fùyìn,v.,"to photocopy, to xerox",19
复杂,fùzá,adj.,complicated,11
干杯,gānbēi,v.,to drink a toast,20
赶,gǎn,v.,"to rush for, to hurry",15
敢,gǎn,v.,to dare,16
干,gàn,v.,"to do, to act",17
高速公路,gāosùgōnglù,,expressway,20
胳膊,gēbo,n.,arm,19
公里,gōnglǐ,m.,kilometer,17
功夫,gōngfu,n.,kung fu,19
鼓励,gǔlì,v.,to encourage,14
故意,gùyì,adv.,"intentionally, on purpose",15
挂,guà,v.,"to hang, to put up",16
观众,guānzhòng,n.,audience,13
管理,guǎnlǐ,v.,"to manage, to administer",15
广播,guǎngbō,n.,"broadcast, radio program",17
规定,guīdìng,n.,"rule, regulation",12
国籍,guójí,n.,"nationality, citizenship",19
海洋,hǎiyáng,n.,"sea, ocean",17
害羞,hàixiū,v.,"to be shy, to be timid",15
寒假,hánjià,n.,winter vacation,15
航班,hángbān,n.,scheduled flight,20
号码,hàomǎ,n.,number,16
